"Kinetic Energy (MeV)" "Hydrogen" "Adipose Tissue" "Compact Bone" "Lead" "Striated Muscle" "Liquid Water"
0.001 746.5 243.8 173.8 16.23 183.4 176.9
0.0015 914.3 278.1 199.7 19.71 207 198.4
0.002 1056 309.2 222.7 22.64 228.8 218.4
0.0025 1180 337.7 243.6 25.21 248.8 237
0.003 1293 364.2 262.9 27.53 267.6 254.4
0.004 1493 408.1 296.2 31.64 301.6 286.4
0.005 1669 448.2 326.2 35.26 332.4 315.3
0.006 1829 485 353.7 38.53 360.6 342
0.007 1975 519 379.1 41.54 386.9 366.7
0.008 2112 549.9 402.5 44.33 411.5 390
0.009 2240 578.5 424.3 46.96 434.7 412
0.01 2361 605.3 444.9 49.44 456.8 432.9
0.0125 2586 659 485.9 54.51 500.4 474.5
0.015 2777 704.6 521.2 59.01 538.5 511
0.0175 2942 744.4 552.3 63.08 572.5 543.7
0.02 3084 779.7 580.2 66.82 603.1 573.3
0.0225 3208 811 605.1 70.28 630.7 600.1
0.025 3316 838.7 627.5 73.5 655.8 624.5
0.0275 3409 863.2 647.6 76.53 678.5 646.7
0.03 3490 885.1 665.7 79.37 699.3 667.1
0.035 3618 923 697.4 84.6 735.4 702.8
0.04 3710 954.7 723.9 89.3 765.2 732.4
0.045 3771 980.5 745.7 93.56 789.7 756.9
0.05 3808 1001 763.3 97.44 809.4 776.8
0.055 3823 1016 777 101 825 792.7
0.06 3822 1026 787.2 104.2 836.9 805
0.065 3807 1032 794.6 107.1 845.5 814.2
0.07 3781 1036 799.4 109.8 851.3 820.5
0.075 3745 1036 802 112.2 854.6 824.3
0.08 3702 1035 802.7 114.5 855.8 826
0.085 3654 1031 801.8 116.5 855.1 825.8
0.09 3601 1025 799.4 118.3 852.7 823.9
0.095 3545 1018 795.8 119.9 848.9 820.6
0.1 3487 1010 791.2 121.4 843.9 816.1
0.125 3183 957.1 757.5 126.4 807.1 781.4
0.15 2890 896.2 715.4 128.3 761 737.1
0.175 2629 836.2 672.2 128.1 714 696.9
0.2 2402 780.5 631.2 126.5 670.1 661.3
0.225 2204 730.6 593.9 123.8 632.8 629.4
0.25 2031 686.3 560.4 120.6 600.8 600.6
0.275 1882 647.3 530.6 117.1 572.8 574.4
0.3 1753 612.9 504.1 113.5 547.7 550.4
0.35 1544 555.5 459.5 106.5 504.5 508
0.4 1384 509.6 423.4 100.1 468.2 471.9
0.45 1258 472.1 393.7 94.48 436.9 440.6
0.5 1159 440.8 368.7 89.6 409.7 413.2
0.55 1077 414.1 347.2 85.28 385.7 389.1
0.6 1007 390.8 328.4 81.46 364.7 368
0.65 947 370.5 311.9 78.1 346.1 349.2
0.7 894.2 352.4 297.2 75.12 329.5 332.5
0.75 847.5 336.3 284 72.49 314.6 317.5
0.8 805.9 321.7 272 70.15 301.2 303.9
0.85 768.6 308.6 261.2 68.06 289.1 291.7
0.9 734.9 296.6 251.3 66.19 278 280.5
0.95 704.3 285.6 242.2 64.5 267.8 270.2
1 676.4 275.5 233.9 62.98 258.5 260.8
1.25 566.7 235.1 200.5 56.93 221 222.9
1.5 489.7 206.1 176.4 52.26 194 195.7
1.75 432.5 184.1 158.1 48.5 173.5 174.9
2 388.1 166.8 143.6 45.37 157.3 158.6
2.25 352.6 152.7 131.8 42.72 144.2 145.4
2.5 323.5 141.1 122 40.43 133.3 134.4
2.75 299.2 131.3 113.7 38.43 124.1 125.1
3 278.5 122.8 106.5 36.66 116.2 117.2
3.5 245.2 109.1 94.9 33.66 103.4 104.2
4 219.5 98.35 85.76 31.2 93.29 94.04
4.5 199.1 89.7 78.38 29.14 85.17 85.86
5 182.3 82.57 72.28 27.39 78.47 79.11
5.5 168.4 76.57 67.15 25.87 72.84 73.43
6 156.5 71.46 62.76 24.54 68.02 68.58
6.5 146.4 67.05 58.96 23.37 63.86 64.38
7 137.5 63.19 55.63 22.32 60.22 60.71
7.5 129.8 59.79 52.69 21.38 57 57.47
8 122.9 56.77 50.08 20.52 54.15 54.6
8.5 116.8 54.07 47.74 19.75 51.59 52.02
9 111.3 51.63 45.62 19.04 49.28 49.69
9.5 106.4 49.42 43.71 18.39 47.19 47.59
10 101.9 47.41 41.96 17.79 45.29 45.67
12.5 84.37 39.56 35.11 15.36 37.84 38.15
15 72.33 34.09 30.33 13.59 32.64 32.92
17.5 63.51 30.06 26.79 12.24 28.81 29.05
20 56.75 26.96 24.06 11.16 25.85 26.07
25 47.04 22.47 20.1 9.554 21.56 21.75
27.5 43.43 20.79 18.61 8.932 19.96 20.13
30 40.38 19.36 17.36 8.396 18.6 18.76
35 35.51 17.09 15.34 7.516 16.42 16.56
40 31.79 15.34 13.78 6.825 14.75 14.88
45 28.85 13.95 12.55 6.267 13.42 13.54
50 26.47 12.83 11.55 5.806 12.34 12.45
55 24.5 11.89 10.71 5.42 11.45 11.54
60 22.84 11.1 10.01 5.09 10.69 10.78
65 21.41 10.42 9.401 4.806 10.04 10.13
70 20.19 9.838 8.878 4.558 9.477 9.559
75 19.11 9.326 8.42 4.34 8.986 9.063
80 18.17 8.874 8.015 4.147 8.552 8.625
85 17.33 8.472 7.655 3.974 8.166 8.236
90 16.58 8.112 7.332 3.819 7.82 7.888
95 15.9 7.788 7.042 3.679 7.509 7.573
100 15.29 7.495 6.778 3.552 7.227 7.289
125 12.94 6.363 5.762 3.057 6.139 6.192
150 11.35 5.593 5.07 2.714 5.398 5.445
175 10.2 5.035 4.567 2.463 4.861 4.903
200 9.323 4.611 4.186 2.271 4.453 4.492
225 8.64 4.28 3.887 2.119 4.134 4.17
250 8.092 4.013 3.646 1.996 3.877 3.911
275 7.642 3.794 3.449 1.895 3.666 3.698
300 7.266 3.611 3.284 1.81 3.49 3.52
350 6.676 3.323 3.024 1.677 3.213 3.241
400 6.236 3.109 2.83 1.577 3.006 3.032
450 5.895 2.943 2.681 1.499 2.846 2.871
500 5.625 2.811 2.562 1.438 2.72 2.743
550 5.407 2.705 2.466 1.388 2.617 2.64
600 5.228 2.618 2.386 1.348 2.533 2.556
650 5.079 2.546 2.318 1.314 2.464 2.485
700 4.954 2.485 2.261 1.286 2.405 2.426
750 4.847 2.433 2.213 1.262 2.355 2.376
800 4.755 2.388 2.171 1.242 2.313 2.333
850 4.676 2.348 2.135 1.224 2.276 2.296
900 4.608 2.314 2.103 1.21 2.244 2.264
950 4.548 2.283 2.076 1.197 2.216 2.236
1000 4.496 2.256 2.052 1.186 2.191 2.211
1500 4.212 2.106 1.916 1.13 2.05 2.07
2000 4.125 2.052 1.869 1.12 2 2.021
2500 4.106 2.033 1.854 1.124 1.983 2.004
3000 4.117 2.029 1.852 1.135 1.98 2.001
4000 4.172 2.04 1.865 1.161 1.991 2.012
5000 4.24 2.059 1.885 1.187 2.01 2.031
6000 4.307 2.08 1.907 1.211 2.031 2.052
7000 4.371 2.1 1.927 1.233 2.051 2.072
8000 4.431 2.12 1.947 1.253 2.07 2.091
9000 4.487 2.138 1.965 1.271 2.088 2.109
10000 4.539 2.155 1.982 1.288 2.105 2.126
